Departamento,Municipio,Puesto,Direccion
ANTIOQUIA,MEDELLIN,SEC. ESC. LA ESPERANZA No 2,KR 29 # 102 - 20
ANTIOQUIA,MEDELLIN,IE MARIA DE LOS ANGELES CANO MARQUEZ,CR 36B 102C 54
ANTIOQUIA,MEDELLIN,SEC. ESC. MEDELLIN,CL 96 # 36-45
ANTIOQUIA,MEDELLIN,I.E.FE Y ALEGRIA GRANIZAL,Cra 39A # 104-23
ANTIOQUIA,MEDELLIN,IE LA AVANZADA,CRA 27 No 106BB-65
ANTIOQUIA,MEDELLIN,SEC. ESC. CARPINELO AMAPOLITA,CALLE 97 # 23-12
ANTIOQUIA,MEDELLIN,IE ANTONIO DERKA,CRA 28 No 107-425
ANTIOQUIA,MEDELLIN,SEC. ESC. DIVINA PROVIDENCIA,CL 108 NO 43B - 17
ANTIOQUIA,MEDELLIN,I.E.FEDERICO CARRASQUILLA,Cra 45 # 108-110
ANTIOQUIA,MEDELLIN,I.E.GUADALUPE,Cra 42B 95A -23
ANTIOQUIA,MEDELLIN,SEC.ESC. MANUEL URIBE ANGEL 02COMUNA,KR 49A #107-65
ANTIOQUIA,MEDELLIN,SEC. ESC. FIDEL ANTONIO SALDARRIAGA 02COMUNA,CRA 48 No 103B-01
ANTIOQUIA,MEDELLIN,SEC ESC LA FRONTERA 02COMUNA,CALLE 122 No 50A 14
ANTIOQUIA,MEDELLIN,I.E. BARRIO SANTA CRUZ 02COMUNA,CL 103 # 43A - 45
ANTIOQUIA,MEDELLIN,SEC. ESC. ARZOBISPO GARCIA 02COMUNA,KR 49 # 98-48
ANTIOQUIA,MEDELLIN,I.E. REPUBLICA DE HONDURAS 02COMUNA,KR 50B # 97A-30
ANTIOQUIA,MEDELLIN,IE LAS NIEVES,CLL 82 No 39 - 69
ANTIOQUIA,MEDELLIN,I.E.RAMON MUNERA LOPERA,Cra 30A # 77 - 04
ANTIOQUIA,MEDELLIN,IE BELLO ORIENTE,CRA 23B No 84B-27
ANTIOQUIA,MEDELLIN,IE JOSE ROBERTO VASQUEZ,CLL 76 No 39-160
ANTIOQUIA,MEDELLIN,SEC. ESC. BALDOMERO SANIN CANO,CR 37 75A 2
ANTIOQUIA,MEDELLIN,I.E. JOSE ANTONIO GALAN,KR 44A NO 93-87
ANTIOQUIA,MEDELLIN,IE RODRIGO LARA BONILLA - SEDE LA SUSANA,KR 41B # 66E-50
ANTIOQUIA,MEDELLIN,IE SAN JUAN BAUTISTA DE LA SALLE,CLL 93 No 40-42
ANTIOQUIA,MEDELLIN,I.E. CAMPO VALDES,CL 83 # 47-33
ANTIOQUIA,MEDELLIN,I.E.SAN JUAN BOSCO,CALLE 82 # 50C-10
ANTIOQUIA,MEDELLIN,I.E. JOSE EUSEBIO CARO,CR 50 A 93 77
ANTIOQUIA,MEDELLIN,IE LORENZA VILLEGAS DE SANTOS,CRA 51 No 87 - 40
ANTIOQUIA,MEDELLIN,SEC ESC TOMAS CARRASQUILLA No 1,CRA 52 No 92 - 05
ANTIOQUIA,MEDELLIN,I.E. JOSE MARIA BRAVO MARQUEZ,CL 70 # 47A-04
ANTIOQUIA,MEDELLIN,I.E. JAVIERA LONDOÑO SEVILLA,CL 71 # 51D-26
ANTIOQUIA,MEDELLIN,SEC ESC JULIO ARBOLEDA,CR 51 78 12
ANTIOQUIA,MEDELLIN,SEC. ESC. PORFIRIO BARBA JACOB,CR 47 74 32
ANTIOQUIA,MEDELLIN,IE FE Y ALEGRIA LUIS AMIGO MORAVIA,CARRERA 58 No 84 40
ANTIOQUIA,MEDELLIN,I.E. JULIO CESAR GARCIA,CL 111A # 65-26
ANTIOQUIA,MEDELLIN,IE DIEGO ECHAVARRIA MISAS,CALLE 111 No 70 68
ANTIOQUIA,MEDELLIN,I.E. PBRO ANTONIO JOSE BERNAL LONDOÑO SJ,CL 105A # 63A-200
ANTIOQUIA,MEDELLIN,I.E.SEBASTIAN DE BELALCAZAR,CALLE 103EE # 63D-185
ANTIOQUIA,MEDELLIN,SEC ESC TRICENTENARIO,CRA 63A No 94A-23
ANTIOQUIA,MEDELLIN,SEC ESC TOSCANA,CLL 111G No 64A-16
ANTIOQUIA,MEDELLIN,I.E. MARIA MONTESSORI,KR 69A # 92C-87
ANTIOQUIA,MEDELLIN,ITM CASTILLA,CR 65 No 98 A - 75
ANTIOQUIA,MEDELLIN,I.E. DINAMARCA,Calle 91 No 65-119
ANTIOQUIA,MEDELLIN,I.E. REPUBLICA DE URUGUAY,CL 91A No 70A-123
ANTIOQUIA,MEDELLIN,IE FELIX DE BEDOUT MORENO,CLL 108 No 70-39
ANTIOQUIA,MEDELLIN,TERMINAL DE TRANSPORTES DEL NORTE,CR 64 C No 78 580
ANTIOQUIA,MEDELLIN,I.E. CIUDADELA LAS AMERICAS 06COMUNA,CL 111 # 79-77
ANTIOQUIA,MEDELLIN,I.E. JOSE MARIA ESPINOSA PRIETO - CASD 06COMUNA,CLL 99 No 72-192
ANTIOQUIA,MEDELLIN,I.E. EL TRIUNFO SANTA TERESA 06COMUNA,CL 104 D 82 GG 20
ANTIOQUIA,MEDELLIN,I.E. SANTA JUANA DE LESTONNAC 06COMUNA,CRA 76A No 103C-43
ANTIOQUIA,MEDELLIN,I.E. JESUS MARIA VALLE 06COMUNA,CLL 101 No 83-21
ANTIOQUIA,MEDELLIN,I.E.ALFREDO COCK ARANGO 06COMUNA,KR 72 # 99-55
ANTIOQUIA,MEDELLIN,SEC.ESC.SAN MARTIN DE PORRES 06COMUNA,KR 75A # 97-135
ANTIOQUIA,MEDELLIN,I.E. KENNEDY 06COMUNA,CRA 76A No 92-200
ANTIOQUIA,MEDELLIN,SEC.CONCENTRACION EDUC.KENNEDY 06COMUNA,CRA 76 A # 92-131
ANTIOQUIA,MEDELLIN,I.E. JORGE ELIECER GAITAN 06COMUNA,CALLE 92 # 83-41
ANTIOQUIA,MEDELLIN,SEC. ESC. EL PEDREGAL 06COMUNA,CLL 104E No 74-109
ANTIOQUIA,MEDELLIN,I.E.LA ESPERANZA 06COMUNA,CRA 73B No 96-09
ANTIOQUIA,MEDELLIN,SENA PEDREGAL 06COMUNA,CL 104 69 120
ANTIOQUIA,MEDELLIN,I.E. SAN VICENTE DE PAUL,KR 71A # 79D-01
ANTIOQUIA,MEDELLIN,I.E.EL DIAMANTE (SEDE BTO),CARRERA 87 No. 79-05
ANTIOQUIA,MEDELLIN,I.E.FE Y ALEGRIA SAN JOSE,CALLE 86 # 92-60
ANTIOQUIA,MEDELLIN,TECNOLOGICO DE ANTIOQUIA,CALLE 78B # 72A-220
ANTIOQUIA,MEDELLIN,IE JESUS REY,CRA 88 No 77A-11
ANTIOQUIA,MEDELLIN,IE AURES,CRA 96A No 77E-15
ANTIOQUIA,MEDELLIN,IE MON GERARDO VALENCIA CANO,CL 65 # 74 B - 273
ANTIOQUIA,MEDELLIN,I.E. JORGE ROBLEDO,CL 65 # 87-74
ANTIOQUIA,MEDELLIN,I.E.MARISCAL ROBLEDO,CALLE 65 # 84-87
ANTIOQUIA,MEDELLIN,SEC.ESC. SANTA MARGARITA,KR 105B # 62-68
ANTIOQUIA,MEDELLIN,INSTITUTO FERRINI - SEDE ROBLEDO,CALLE 76 # 80-431
ANTIOQUIA,MEDELLIN,I.E.CAMILO MORA CARRASQUILLA,CALLE 62D # 94B-74
ANTIOQUIA,MEDELLIN,COL MAYOR DE ANTIOQUIA,CRA 78 No 65-46
ANTIOQUIA,MEDELLIN,IE BARRIO OLAYA HERRERA,CRA 101C No 58-44
ANTIOQUIA,MEDELLIN,I.E.JOSE CELESTINO MUTIS 08COMUNA,CALLE 65 No. 45-15
ANTIOQUIA,MEDELLIN,I.T.M. (CAMPUS FRATERNIDAD) 08COMUNA,CALLE 54A No. 30-01
ANTIOQUIA,MEDELLIN,SEC.ESC.NIÑO JESUS DE PRAGA 08COMUNA,CALLE 57C No. 23-200
ANTIOQUIA,MEDELLIN,I.E. LUIS CARLOS GALAN SARMIENTO 08COMUNA,CRA 24B No 57EE-45
ANTIOQUIA,MEDELLIN,IE ESC NORMAL SUPERIOR DE MEDELLIN 08COMUNA,CRA 34 No 65 - 02
ANTIOQUIA,MEDELLIN,SEC. ESC. VILLA TURBAY 08COMUNA,KR 2 # 55F-17
ANTIOQUIA,MEDELLIN,SECCION ESCUELA HOGAR ANTIOQUIA 08COMUNA,CR 12 52 42
ANTIOQUIA,MEDELLIN,SEC ESC SOR MARIA LUISA COURBIN 08COMUNA,KR 12 # 52-44
ANTIOQUIA,MEDELLIN,I.E. SAN FRANCISCO DE ASIS 08COMUNA,CL 56 # 16-18
ANTIOQUIA,MEDELLIN,IE FELIX HENAO BOTERO 08COMUNA,CLL 52 No 23-51
ANTIOQUIA,MEDELLIN,IE GABRIEL GARCIA MARQUEZ 08COMUNA,CRA 8A No. 57A - 93
ANTIOQUIA,MEDELLIN,I.E. MANUEL JOSÉ CAYZEDO 09COMUNA,CL 50 29 82
ANTIOQUIA,MEDELLIN,COLEGIO EUCARISTICO 09COMUNA,CRA 28 No 42-62
ANTIOQUIA,MEDELLIN,SENA - SEDE BUENOS AIRES 09COMUNA,CLL 48 No 28-00
ANTIOQUIA,MEDELLIN,IE ARZOBISPO TULIO BOTERO SALAZAR 09COMUNA,CLL 49A No 03A - 006
ANTIOQUIA,MEDELLIN,IE MADRE LAURA 09COMUNA,CLL 45 No 22A - 81
ANTIOQUIA,MEDELLIN,SECCION ESCUELA ALEJANDRO ECHAVARRIA 09COMUNA,CARRERA 16 NO 49B 8
ANTIOQUIA,MEDELLIN,I.E. GABRIELA GOMEZ CARVAJAL 09COMUNA,KR 32 # 34-06
ANTIOQUIA,MEDELLIN,ESC NORMAL SUPERIOR ANTIOQUEÑA 09COMUNA,KR 36A # 48-55
ANTIOQUIA,MEDELLIN,SEC. ESC. JOSE DE SAN MARTIN 09COMUNA,CL 39 # 38- 21
ANTIOQUIA,MEDELLIN,SEC. ESC. JUAN CANCIO RESTREPO 09COMUNA,CLL 45 No 31-63
ANTIOQUIA,MEDELLIN,SEC. COL. AGUSTIN NIETO CABALLERO 10COMUNA,KR 40 # 59A-21
ANTIOQUIA,MEDELLIN,I.E. CENTRO FORMATIVO DE ANTIOQUIA -CEFA 10COMUNA,CL 50 # 41-55
ANTIOQUIA,MEDELLIN,I.E. HECTOR ABAD GOMEZ 10COMUNA,CL 50 #39-65
ANTIOQUIA,MEDELLIN,I.E. JAVIERA LONDOÑO 10COMUNA,CLL 53 No 40-65
ANTIOQUIA,MEDELLIN,I.T.M. (PRADO CENTRO) 10COMUNA,CRA 51 No 58-69
ANTIOQUIA,MEDELLIN,ALCALDIA MUNICIPAL (SOTANO) 10COMUNA,CL 44 # 52-165
ANTIOQUIA,MEDELLIN,SENA 10COMUNA,CL 51 # 57-70
ANTIOQUIA,MEDELLIN,UNIVERSIDAD CLARETIANA 10COMUNA,CARRERA 55A # 61-06
ANTIOQUIA,MEDELLIN,PLAZA MINORISTA JOSE MARIA VILLA 10COMUNA,CL 55A 57 80
ANTIOQUIA,MEDELLIN,INSTITUTO JORGE ROBLEDO,CL 51 # 65 - 72
ANTIOQUIA,MEDELLIN,I.E. MARCO FIDEL SUAREZ,CR 70 49 70
ANTIOQUIA,MEDELLIN,COL. CALASANZ (FEM) CAMPESTRE ESCOLAPIAS,CL 55 76A 71 (COLISEO)
ANTIOQUIA,MEDELLIN,COL. SAN IGNACIO DE LOYOLA - SD MAYORES,CLL 48 No 68-98
ANTIOQUIA,MEDELLIN,SEC. ESC. CARLOS OBANDO VELASCO,CRA 67A No 42-24
ANTIOQUIA,MEDELLIN,INST. UNIVERSITARIA SALAZAR Y HERRERA,CR 70 52 49
ANTIOQUIA,MEDELLIN,COLEGIO BETHLEMITAS,TRANSVERSAL 36 No 72-93
ANTIOQUIA,MEDELLIN,COL. SAN IGNACIO DE LOYOLA - SD INFANTIL,CALLE 47D No. 75-83
ANTIOQUIA,MEDELLIN,CORP. UNIVERSITARIA ADVENTISTA - UNAC,CRA 84 No 33AA-01
ANTIOQUIA,MEDELLIN,UNIVERSIDAD PONTIFICIA BOLIVARIANA,CIR 1 No 70 - 01
ANTIOQUIA,MEDELLIN,I.E.SANTA ROSA DE LIMA 12COMUNA,CALLE 45G No. 80-95
ANTIOQUIA,MEDELLIN,IE LOLA GONZALEZ 12COMUNA,CLL 47F No 94-63
ANTIOQUIA,MEDELLIN,INST. FERRINI - SD CALASANZ 12COMUNA,CLL 51A No 81B - 33
ANTIOQUIA,MEDELLIN,I.E.FRANCISCO ANTONIO ZEA 12COMUNA,KR 82 # 35-40
ANTIOQUIA,MEDELLIN,I.E AMERICA 12COMUNA,CALLE 34 EE No. 91-20
ANTIOQUIA,MEDELLIN,C4TA CIUDADELA 12COMUNA,CL 42C 95 51
ANTIOQUIA,MEDELLIN,LICEO SALAZAR Y HERRERA 12COMUNA,CLL 42C No 86-17
ANTIOQUIA,MEDELLIN,I.E. BLANQUIZAL 13COMUNA,CR 92DD 57F 41
ANTIOQUIA,MEDELLIN,I.E JUAN XXIII 13COMUNA,CALLE 49 No 96A-11
ANTIOQUIA,MEDELLIN,I.E.STELLA VELEZ LONDOÑO 13COMUNA,CALLE 48DD No. 99D-118
ANTIOQUIA,MEDELLIN,SEC ESC JUAN DE DIOS ARANZAZU 13COMUNA,CLL 42 No 105 - 42
ANTIOQUIA,MEDELLIN,I.E.EL CORAZON 13COMUNA,CR 116 F 34A 131
ANTIOQUIA,MEDELLIN,I.E.EDUARDO SANTOS 13COMUNA,CALLE 43 No. 120C - 77
ANTIOQUIA,MEDELLIN,SEC. ESC. AMOR AL NIÑO 13COMUNA,CR 115 39BD 06
ANTIOQUIA,MEDELLIN,I.E FUNDADORES 13COMUNA,CR 101 47C 85
ANTIOQUIA,MEDELLIN,SEC. ESC. VEINTE DE JULIO 13COMUNA,CR 106 38 40
ANTIOQUIA,MEDELLIN,COL.SANTA MARIA DEL ROSARIO 14COMUNA,CALLE 7B SUR No. 29C - 100
ANTIOQUIA,MEDELLIN,COL.MARYMOUNT 14COMUNA,CALLE 7 No. 25-64
ANTIOQUIA,MEDELLIN,COLEGIO SAN LUCAS 14COMUNA,CLL 20 SUR No 25B-91
ANTIOQUIA,MEDELLIN,COLEGIO CAMPESTRE MANZANARES 14COMUNA,CARRERA 16 No 12 SUR 28
ANTIOQUIA,MEDELLIN,COLEGIO SAN JOSE DE LA SALLE 14COMUNA,CALLE 9 No 10 337
ANTIOQUIA,MEDELLIN,POLITECNICO JAIME ISAZA CADAVID 14COMUNA,CARRERA 48 No. 7 - 151
ANTIOQUIA,MEDELLIN,I.E. INEM JOSE FELIX DE RESTREPO 14COMUNA,CARRERA 48 No. 1 - 125
ANTIOQUIA,MEDELLIN,COL. SAN JOSE DE LAS VEGAS 14COMUNA,CRA 48 No 7SUR-52
ANTIOQUIA,MEDELLIN,COLEGIO PINARES ALTOVERDE 14COMUNA,CARRERA 35 No 9 SUR 160
ANTIOQUIA,MEDELLIN,I.E. CAMILO C. RESTREPO,Cra 65 D # 24-40
ANTIOQUIA,MEDELLIN,I.E.BENJAMIN HERRERA,CL 25 # 52-140
ANTIOQUIA,MEDELLIN,SEC. ESC. REPUBLICA DE COSTA RICA,CARRERA 52 No 7 SUR -23
ANTIOQUIA,MEDELLIN,SEC.ESC.LA COLINA,KR 52C 12A SUR -23
ANTIOQUIA,MEDELLIN,I.E. LA SALLE DE CAMPOAMOR,CARRERA 65B No. 4 - 49
ANTIOQUIA,MEDELLIN,SEC ESC CRISTO REY APOLO,CRA 50G No 3SUR-34
ANTIOQUIA,MEDELLIN,SEC. ESC. SANTISIMA TRINIDAD,CL 26 65B 100
ANTIOQUIA,MEDELLIN,I.E. FATIMA NUTIBARA,CARRERA 65A No. 32B - 120
ANTIOQUIA,MEDELLIN,UNID.DEPORTIVA ANDRES ESCOBAR,CR 66B 30A 49 AUDITORIOS DE LA BOLERA
ANTIOQUIA,MEDELLIN,COLEGIO SAN JUAN BOSCO,CLL 28 No 73-01
ANTIOQUIA,MEDELLIN,IE YERMO Y PARRES,CALLE 28 No 77 84
ANTIOQUIA,MEDELLIN,SECCION ESCUELA CARLOS FRANCO,CARRERA 77 No 25 67
ANTIOQUIA,MEDELLIN,INSTITUCION EDUCATIVA ROSALIA SUAREZ,CLL 30A # 80 -18
ANTIOQUIA,MEDELLIN,I.E. OCTAVIO HARRY - JACQUELINE KENNEDY,CL 17 # 73-37
ANTIOQUIA,MEDELLIN,I.E.JOSE MARIA BERNAL,KR 70A # 13A-19
ANTIOQUIA,MEDELLIN,I.E. CAPILLA DEL ROSARIO,CALLE 6 SUR No. 79 - 195
ANTIOQUIA,MEDELLIN,IE ANTONIO RICAURTE,CRA 80 No 2-11
ANTIOQUIA,MEDELLIN,COL LA INMACULADA,CRA 76 No 12-57
ANTIOQUIA,MEDELLIN,I. E. SAN ROBERTO BELARMINO,CALLE 32B No. 83 - 39
ANTIOQUIA,MEDELLIN,INST. SALESIANO PEDRO JUSTO BERRIO,CRA 87A 32A 101
ANTIOQUIA,MEDELLIN,IE PEDRO OCTAVIO AMADO,CR 88A 18A 5
ANTIOQUIA,MEDELLIN,CENTRO EDUCATIVO EL MANZANILLO 17CORREGIMIENTO,CLL 5A SUR No 89A - 11 VEREDA MANZANILLO
ANTIOQUIA,MEDELLIN,C.E. MARIA PAULINA TABORDA 17CORREGIMIENTO,CLL 34 AB 126B 301 - VDA TRAVESIAS EL CORAZON
ANTIOQUIA,MEDELLIN,I.E. DEBORA ARANGO PEREZ 17CORREGIMIENTO,CL 18 103 160 ALTAVISTA
ANTIOQUIA,MEDELLIN PARROQ,SAN JOSEMARIA ESCRIVA DE BALAGUER 17CORREGIMIENTO,CL 31 AA 107 50
ANTIOQUIA,MEDELLIN,IE HECTOR ROGELIO MONTOYA 19CORREGIMIENTO,CLL 20 No 32-60
ANTIOQUIA,MEDELLIN,COLISEO SANTA ELENA 21CORREGIMIENTO,CORREGIMIENTO SANTA ELENA
ANTIOQUIA,MEDELLIN,C.E. JUAN ANDRES PATIÑO 21CORREGIMIENTO,CORREGIMIENTO SANTA ELENA
ANTIOQUIA,MEDELLIN,C.E. MEDIA LUNA 21CORREGIMIENTO,CORREGIMIENTO SANTA ELENA
ANTIOQUIA,MEDELLIN,IE MONSEÑOR VICTOR WIEDEMANN 18CORR.,DIAG 60E No. 41A SUR - 30
ANTIOQUIA,MEDELLIN,CENTRO DE DESARROLLO SOCIAL (CDS) 18CORR.,CRA 79 No 40 SUR - 40
ANTIOQUIA,MEDELLIN,PAR. BIBLIOTECA JOSE HORACIO BETANCUR 18CORR.,CLL 50 E SUR 75 A - 94
ANTIOQUIA,MEDELLIN,IE ANGELA RESTREPO MORENO 18CORR.,CARRERA 55 No 48C SUR 90
ANTIOQUIA,MEDELLIN,IE LUSITANIA 20CORREGIMIENTO,CRA 109A No 63B-320
ANTIOQUIA,MEDELLIN,I.E. PRESBITERO JUAN J. ESCOBAR 20CORREGIMIENTO,CLL 62 No 128-120
ANTIOQUIA,MEDELLIN,IE LOMA HERMOSA 20CORREGIMIENTO,CRA 123B No 53B-05
ANTIOQUIA,MEDELLIN,SEC ESC JUAN NEPOMUCENO MORALES 20CORREGIMIENTO,CALLE 62 No 127 6
ANTIOQUIA,MEDELLIN,IE ALFONSO UPEGUI OROZCO 20CORREGIMIENTO,CALLE 64B No 117 177
ANTIOQUIA,ABEJORRAL,I.E. FUNDACION CELIA DUQUE,KR 55 # 44-110
ANTIOQUIA,ABEJORRAL,IER PANTANILLO,CORREGIMIENTO PANTANILLO
ANTIOQUIA,ABEJORRAL,CHAGUALAL IER ZOILA DUQUE BAENA,VEREDA CHAGUALAL
ANTIOQUIA,ABEJORRAL,GUAICO GRANDE IER CELIA DUQUE,VEREDA GUAICO GRANDE
ANTIOQUIA,ABEJORRAL,PORTUGAL IER ZOILA DUQUE BAENA,VEREDA PORTUGAL
ANTIOQUIA,ABEJORRAL,PURIMA IER CELIA DUQUE,VEREDA PURIMA
ANTIOQUIA,ABRIAQUI,I.E LA MILAGROSA,carrera 10 #12 66
ANTIOQUIA,ABRIAQUI,SD LA ANTIGUA I.E LA MILAGROSA,CGTO. LA ANTIGUA
ANTIOQUIA,ALEJANDRIA,I.E. PROCESA DELGADO,Cl. 22 # 20-60
ANTIOQUIA,AMAGA,E.U. ALEJANDRO TORO,CRA. 51 No. 48-21
ANTIOQUIA,AMAGA,I.E. NORMAL SUPERIOR AMAGA,CRA. 51 No. 46-31
ANTIOQUIA,AMAGA,ESCUELA URBANA MARIA AUXILIADORA,CRA 51 N 48 51
ANTIOQUIA,AMAGA,COLISEO CTO JUAN MONTOYA CORREA,CRA. 54 No. 60 - 61
ANTIOQUIA,AMAGA,I.E.R. URBANO RUIZ,CORREGIMIENTO CAMILO C. RESTREPO-SECTOR LA ESCUELA
ANTIOQUIA,AMAGA,I.E BELISARIO BETANCUR C,VEREDA LA FERRERIA
ANTIOQUIA,AMAGA,I.E. SAN FERNANDO DE AMAGA,VIA TRONCAL DEL CAFÉ
ANTIOQUIA,AMAGA,I.E PASCUAL CORREA F. SEDE BACHILLERATO,VEREDA MINAS
ANTIOQUIA,AMALFI,IE EDUARDO FERNANDEZ BOTERO,CRA 20 GIRARDOT No 20-68
ANTIOQUIA,AMALFI,SEDE B I.E. EDUARDO FERNANDEZ BOTERO,CLL SANTANDER No 18-80
ANTIOQUIA,AMALFI,I.E.R. LA MANGUITA,VEREDA LA MANGUITA
ANTIOQUIA,AMALFI,I.E.R. PORTACHUELO,CORREGIMIENTO PORTACHUELO
ANTIOQUIA,ANDES,IE MARIA AUXILIADORA,CALLE 52 NRO 49-28
ANTIOQUIA,ANDES,PLACA POLIDEPORTIVA,CLL 56A Y 57 CON CR 52 A Y 53 BARRIO CORID
ANTIOQUIA,ANDES,LICEO JUAN DE DIOS URIBE,LICEO JUAN DE DIOS URIBE - CLL 47 No 47 - 30
ANTIOQUIA,ANDES,SEDE EDUCATIVA LA AGUADA,SEDE EDUCATIVA LA AGUADA - CR 53 No 42 - 208
ANTIOQUIA,ANDES,I.E.R. FELIPE HENAO JARAMILLO,CALLE 50 NRO 51 -48 CORREGIMIENTO BUENOS AIRES
ANTIOQUIA,ANDES,C.E.R. GABRIEL ALVAREZ RESTREPO,CER GABRIEL ALVAREZ RESTREPO- CGTO LA CHAPARRALA
ANTIOQUIA,ANDES,IE SAN JOSE -SEDE PRIMARIA,IE SAN JOSE -SEDE PRIMARIA - CGTO SAN JOSE
ANTIOQUIA,ANDES,I.E.R.CARBONERA,CORREGIMIENTO SAN BARTOLO
ANTIOQUIA,ANDES,I.E.R. SANTA INES,CORREGIMIENTO SANTA INES
ANTIOQUIA,ANDES,IE SANTA RITA,IE SANTA RITA - CORREGIMIENTO SANTA RITA
ANTIOQUIA,ANDES,IE TAPARTO,IE TAPARTO - CORREGIMIENTO TAPARTO
ANTIOQUIA,ANDES,IE SAN PERUCHITO,IE SAN PERUCHITO-SD SECUNDARIA-CGTO LA CHAPARRALA
ANTIOQUIA,ANGELOPOLIS,I.E SAN JOSE,CALLE 9 N. 14 -03
ANTIOQUIA,ANGELOPOLIS,I.E LOS ANGELES,CORREGIMIENTO LA ESTACIÓN
ANTIOQUIA,ANGELOPOLIS,C.E.R. SAN ISIDRO,VEREDA SANTA ANA
ANTIOQUIA,ANGOSTURA,I.E. MARIANO DE JESUS EUSSE,KR 9 # 8 -84 INSTITUCION
ANTIOQUIA,ANGOSTURA,CER LA QUINTA -SEDE GABRIELA MISTRAL,VDA. MALDONADO ESC. RU. GABRIE
ANTIOQUIA,ANGOSTURA,CER SAN FERNANDO,VDA. LA TRINIDAD ESC.RU LA TRI
ANTIOQUIA,ANGOSTURA,IGLESIA DE LLANOS DE CUIVA,CORREGIMIENTO LLANOS DE CUIVA
ANTIOQUIA,ANORI,COLISEO LUIS RODRIGO CÁRDENAS LOPERA,AV 30 No 24-385
ANTIOQUIA,ANORI,C.E.R MERCEDES YEPES,CER.VDA. LA MESETA KM 20
ANTIOQUIA,ANORI,I.E.R AMANDA POSADA,I.E.R AMANDA POSADA CGTO LIBERIA KM 110
ANTIOQUIA,ANORI,C.E.R LA HONDONA,CER.LA HONDONA VDA EL ROBLE KM 30
ANTIOQUIA,ANORI,C.E.R MADRESECA,C.E.R MADRESECA VDA. MADRESECA KM 50
ANTIOQUIA,ANORI,C.E.R EL CARMÍN,C.E.R EL CARMÍN .VDA EL CARMIN KM 25
ANTIOQUIA,ANORI,C.E.R LA CASITA,CER.LA CASITA VDA. LA CASITA KM 38
ANTIOQUIA,ANORI,C.E.R SANTO DOMINGO,C.E.R SANTO DOMINGO. VDA. SANTO DOMINGO KM 25
ANTIOQUIA,ANTIOQUIA,I.E. SAN LUIS GONZAGA,CRA 7 No 13A - 64
ANTIOQUIA,ANTIOQUIA,COLISEO HERNAN SEPULVEDA,CALLE 19 A 10-48
ANTIOQUIA,ANTIOQUIA,IE ARTURO VELASQUEZ ORTIZ,CLL 9 No 2-25
ANTIOQUIA,ANTIOQUIA,ESCUELA MARTINEZ PARDO,CLL 10 No 11-82
ANTIOQUIA,ANTIOQUIA,CER SANTA INES,CORREGIMIENTO CATIVO
ANTIOQUIA,ANTIOQUIA,ESCUELA MORADITAS CENTRAL,VEREDA MORADITAS
ANTIOQUIA,ANTIOQUIA,CER EL PESCADO,CORREGIMIENTO EL PESCADO
ANTIOQUIA,ANTIOQUIA,CER CACIQUE GUASABRA,CORREGIMIENTO LAURELES
ANTIOQUIA,ANTIOQUIA,CER LAS AZULES,CORREGIMIENTO LAS AZULES
ANTIOQUIA,ANTIOQUIA,CER MANUEL MARIA TORO,CORREGIMIENTO TONUSCO ARRIBA
ANTIOQUIA,ANTIOQUIA,CER SOCORRO DE SABANAS,CORREGIMIENTO SABANAS
ANTIOQUIA,ANZA,I.E ANZA,CRA 11 No 6-22
ANTIOQUIA,ANZA,I.E.R. ASCENCION MONTOYA DE TORRES,CORREGIMIENTO GUINTAR
ANTIOQUIA,ANZA,I.E.R. LA CEJITA,VEREDA LA CEJITA
ANTIOQUIA,APARTADO,I.E ALFONSO LOPEZ 01COMUNA,CRA 79A No 96A 60 BARRIO ALFONSO LOPEZ
ANTIOQUIA,APARTADO,I.E. POLICARPA SALAVARRIETA 01COMUNA,CLL 100B No 78 -36 BARRIO POLICARPA
ANTIOQUIA,APARTADO,I.E. LA PAZ 01COMUNA,CLL 103 No 77 - 32 BARRIO LA PAZ
ANTIOQUIA,APARTADO,SD 20 DE ENERO I.E. LA PAZ 01COMUNA,CRA 76 No 102D - 02 BARRIO 20 DE ENERO
ANTIOQUIA,APARTADO,I. E. SAN FRANCISCO DE ASIS 02COMUNA,CALLE 100 No. 84 - 60
ANTIOQUIA,APARTADO,I. E. SAN PEDRO CLAVER 02COMUNA,CARRERA 100 No 81-30
ANTIOQUIA,APARTADO,I. E. SANTA MARIA LA ANTIGUA 02COMUNA,CLL 102C No 81 - 44 BARRIO SANTA MARIA
ANTIOQUIA,APARTADO,UNIVERSIDAD COOPERATIVA 03COMUNA,CL 91 #96A - 55
ANTIOQUIA,APARTADO,I.E. HERACLIO MENA PADILLA 03COMUNA,CLL 94 No 94 - 21 BARRIO PUEBLO NUEVO
ANTIOQUIA,APARTADO,I.E CADENA LAS PLAYAS 03COMUNA,CRA 86C 94C-00 BARRIO LA ESPERANZA
ANTIOQUIA,APARTADO,I. E. CAMPO ALEGRE 04COMUNA,CRA 115 No 87 - 58 BARRIO EL SALVADOR
ANTIOQUIA,APARTADO,I.E. MADRE LAURA 04COMUNA,CALLE 99A No 104-12
ANTIOQUIA,APARTADO,COLEGIO COOPERATIVO CARB 04COMUNA,DIAGONAL 105C No 99C-51
